s,x,y,psi,kappa
2034.7060378187991,750.4807335199893,-899.449455945844,-1.2460799553301083,7.76125741868659e-06
2046.266867579133,754.1697235270865,-910.4059215042085,-1.2459552589406815,1.3407577552933476e-05
2057.8276973394672,757.8603483838642,-921.3618364769551,-1.245793380489271,1.283247422940251e-05
2069.388527099801,761.5524862842512,-932.3172416520692,-1.2456987328558122,2.2889038824585274e-06
2080.9493568601356,765.2449046942968,-943.2725522814839,-1.2457431014510858,-8.560137857679874e-06
2092.5101866204695,768.9363698686492,-954.2281841519651,-1.2458509978775751,-8.568061703347925e-06
2104.0710163808035,772.6268049876455,-965.1841630406475,-1.2459208286456993,-3.1827350760945736e-06
2115.6318461411374,776.3168275612588,-976.1402808817671,-1.2459276739040817,1.5748407908877478e-06
2127.192675901472,780.0070184036572,-987.096342049417,-1.2458957996116227,3.3887981744170765e-06
2138.753505661806,783.6976005702448,-998.0522714035636,-1.2458631502878978,1.6214677114735737e-06
2150.3143354221397,787.3883549787473,-1009.0081427359378,-1.2458701140351798,-3.0686532334383442e-06
2161.875165182474,791.0787285192063,-1019.9641423658757,-1.245930927449023,-6.793989956396904e-06
2173.435994942808,794.7683063601489,-1030.9204099826272,-1.246005206755726,-5.54619519567049e-06
2184.996824703142,798.45713539199,-1041.8769297370163,-1.2460786072222985,-1.0457814332320802e-05
2196.5576544634764,802.1442536269038,-1052.834025325073,-1.2463854886184267,-5.022961999452468e-05
2208.1184842238104,805.8245781121127,-1063.7934046111627,-1.247389870661194,-0.00012571507005599877
2219.6793139841443,809.4891959928892,-1074.7580456077123,-1.2492095116404756,-0.00017954609807462738
2231.2401437444787,813.1319733497647,-1085.7299618509412,-1.251205110286377,-0.0001472301749446537
2242.8009735048126,816.7572693892621,-1096.7076669860844,-1.2521849268863552,-8.844961590234214e-06
2254.3618032651466,820.3812156031532,-1107.6858179488815,-1.2514830332063684,0.0001146120945068631
2265.9226330254805,824.0186014117605,-1118.6595231112608,-1.2499262485775644,0.00014195348930075966
2277.483462785815,827.6736860157926,-1129.627346180141,-1.2483217206483475,0.00013369602008864002
2289.044292546149,831.3455624538324,-1140.589559035025,-1.2468954138580235,0.00010813616685020018
2300.605122306483,835.0305895696696,-1151.5473581168026,-1.2460230477264451,2.9974955002923074e-05
2312.165952066817,838.7183251612331,-1162.5042459722708,-1.2465996498257725,-0.0001512426217706739
2323.726781827151,842.3852511643576,-1173.468115435383,-1.2501235147924377,-0.0004905840241861519
2335.287611587485,845.9873967259037,-1184.4534335760166,-1.2588589285848009,-0.0010637765531362985
2346.8484413478195,849.4517139168787,-1195.482960131217,-1.2755758271308089,-0.0018438891871646146
2358.4092711081535,852.6807971687729,-1206.5835408946364,-1.3012981795485974,-0.002596495780208125
2369.9701008684874,855.5707846903784,-1217.7770150128881,-1.3373417434740587,-0.0038763383595758517
2381.530930628822,857.9216610791927,-1229.0949735732647,-1.4034806242318205,-0.00856204106427585
2393.0917603891558,859.1100034691622,-1240.5871072266339,-1.5435516686894493,-0.014010865528064844
2404.6525901494897,858.5607075407053,-1252.127460516788,-1.686871486241375,-0.011126372962930446
2416.2134199098236,856.4299460258989,-1263.4819208835293,-1.8376395965174699,-0.01755482735947683
2427.774249670158,851.9877021705672,-1274.1202897530256,-2.1018626381509495,-0.019272983251567836
2439.335079430492,845.3902659136533,-1283.6054807884789,-2.23504461879278,-0.007959090235069907
2450.895909190826,837.9126540483775,-1292.419735285852,-2.305254959974306,-0.0035942202156849664
2462.4567389511603,830.0898006786289,-1300.9317962045277,-2.310041157119518,0.003099873199282123
2474.0175687114943,822.6013232017764,-1309.7357207567231,-2.2252063517587706,0.011173891190932683
2485.578398471828,816.2609465796819,-1319.3921230757753,-2.0711707058665016,0.015018901953164111
2497.1392282321626,811.6710056279813,-1329.9889511788567,-1.8842263774609205,0.01688092404766106
2508.7000579924966,809.1797458906473,-1341.2649283487062,-1.6961411610430734,0.01490300259167974
2520.2608877528305,808.6449623676036,-1352.8050233486947,-1.5439573780074245,0.011943801333925893
2531.821717513165,809.7393152313734,-1364.3070017826894,-1.408881341108581,0.011258744276842272
2543.382547273499,812.2701268997988,-1375.582569875968,-1.299082013091212,0.00726565267351153
2554.943377033833,815.7385149149213,-1386.6095730203315,-1.241555330417653,0.0028749099456155517
2566.504206794167,819.5931134515123,-1397.5087914238493,-1.2251245033292038,0.00027617850926615206
2578.065036554501,823.4900394560304,-1408.39302100645,-1.2324518636502038,-0.0016435143041607962
2589.625866314835,827.1592970211354,-1419.3556626805018,-1.2703430674659903,-0.005370263675097791
2601.186696075169,830.1244535607408,-1430.5267623749455,-1.3618990170888012,-0.010203346802357783
2612.7475258355034,831.7940015430861,-1441.9603766612859,-1.492815975445515,-0.01185807729055869
2624.3083555958374,831.9042268493041,-1453.5146506483388,-1.6295555407143338,-0.011839689603419664
2635.8691853561713,830.4246892689252,-1464.9741084132836,-1.770247829360624,-0.012514548169779054
2647.4300151165057,827.3275021946729,-1476.1055388563423,-1.9122868260184924,-0.011579774832363115
2658.9908448768397,822.78198749976,-1486.7300769968388,-2.034225723683866,-0.009781029058792154
2670.5516746371736,817.0375032259258,-1496.7576005818014,-2.149410853557497,-0.01052524495604547
2682.112504397508,810.1258825623011,-1506.0176328013329,-2.274769450821968,-0.010629489102153002
2693.673334157842,802.1400387627384,-1514.369898831174,-2.390769794272605,-0.009549265446271882
2705.234163918176,793.3027211200985,-1521.8179438810635,-2.4845717908154192,-0.005869877773055856
2716.7949936785103,783.9769354378192,-1528.6493531637498,-2.5266657633710694,-0.0019894656491658692
2728.3558234388443,774.4792171974166,-1535.2406176179245,-2.5406754363077013,-0.0006629594500025737
2739.916653199178,764.9271618661904,-1541.7529855321584,-2.544586872033429,-6.385464078593343e-05
2751.477482959512,755.3691939790913,-1548.2566782620665,-2.5428436140246093,0.00034794911916412747
2763.0383127198465,745.8368950871304,-1554.7979228467211,-2.536907951132166,0.00065729222490696
2774.5991424801805,736.3533342147969,-1561.4096160696222,-2.5283885445830814,0.0007799902097312498
2786.1599722405144,726.9286874057367,-1568.1050175982546,-2.5195077351226844,0.0007459171779397205
2797.720802000849,717.5623600807884,-1574.881761983838,-2.5110206840333444,0.0007338543613665862
2809.281631761183,708.2535878091237,-1581.7373488695098,-2.5027397122730926,0.0006543431796711978
2820.8424615215167,698.9954781941389,-1588.6612185221131,-2.4966812843214066,0.00039681106354510896
2832.403291281851,689.770341151678,-1595.62897109683,-2.49297357567167,0.00027023162205979697
2843.964121042185,680.5676788638511,-1602.6263828998685,-2.4900486388853644,0.0002460677418466889
